"link","argentino","otro_pais"
62701007,1399,94
62701008,1305,94
62701009,1366,58
62701010,1229,106
62701101,1417,34
62701102,32,5
62701103,67,1
62701104,338,22
62701105,35,0
62740101,1299,56
62740102,988,67
62740103,638,39
62740104,624,23
62740105,1544,65
62740106,909,45
62740107,782,41
62740108,487,25
62740109,868,42
62740110,813,50
62740111,898,39
62740112,850,44
62740113,1588,77
62740114,830,47
62740115,1744,88
62740201,1210,65
62740202,1255,62
62740203,1385,68
62740204,836,35
62740205,1106,34
62740206,1561,62
62740207,1037,58
62740208,1025,49
62740209,902,55
62740210,1169,53
62740211,1597,46
62740212,1092,63
62740213,1137,34
62740214,1204,67
62740215,1200,76
62740301,1250,70
62740302,895,86
62740303,792,39
62740304,1702,66
62740305,1438,67
62740306,734,29
62740307,1545,70
62740308,1056,45
62740309,984,32
62740310,1286,49
62740311,1178,41
62740312,1556,91
62740313,1419,53
62740314,1334,49
62740315,927,55
62740316,1043,42
62740401,1242,78
62740402,1431,85
62740403,1353,77
62740404,1290,152
62740405,998,129
62740406,979,116
62740407,960,38
62740408,796,47
62740409,1524,67
62740410,1231,44
62740411,1068,27
62740412,1838,130
62740413,1210,58
62740414,1124,152
62740415,1349,43
62740416,1073,143
62740417,1093,88
62740501,853,35
62740502,896,41
62740503,947,48
62740504,1111,152
62740505,859,108
62740506,847,48
62740507,1194,97
62740508,1269,74
62740509,944,46
62740510,1043,61
62740511,1184,63
62740512,1234,47
62740513,1077,65
62740514,1349,109
62740515,1302,94
62740516,1071,43
62740601,1432,63
62740602,964,71
62740603,1052,54
62740604,957,48
62740605,1335,92
62740606,1373,88
